drain TotalCurrent(IdVgbg_n22_des) X,drain TotalCurrent(IdVgbg_n22_des) Y,drain TotalCurrent(IdVgbg_n25_des) X,drain TotalCurrent(IdVgbg_n25_des) Y,drain TotalCurrent(IdVgbg_n28_des) X,drain TotalCurrent(IdVgbg_n28_des) Y,drain TotalCurrent(IdVgbg_n31_des) X,drain TotalCurrent(IdVgbg_n31_des) Y,drain TotalCurrent(IdVgbg_n34_des) X,drain TotalCurrent(IdVgbg_n34_des) Y,drain TotalCurrent(IdVgbg_n37_des) X,drain TotalCurrent(IdVgbg_n37_des) Y,drain TotalCurrent(IdVgbg_n40_des) X,drain TotalCurrent(IdVgbg_n40_des) Y,drain TotalCurrent(IdVgbg_n43_des) X,drain TotalCurrent(IdVgbg_n43_des) Y,drain TotalCurrent(IdVgbg_n46_des) X,drain TotalCurrent(IdVgbg_n46_des) Y,drain TotalCurrent(IdVgbg_n49_des) X,drain TotalCurrent(IdVgbg_n49_des) Y,drain TotalCurrent(IdVgbg_n52_des) X,drain TotalCurrent(IdVgbg_n52_des) Y,drain TotalCurrent(IdVgbg_n55_des) X,drain TotalCurrent(IdVgbg_n55_des) Y,drain TotalCurrent(IdVgbg_n58_des) X,drain TotalCurrent(IdVgbg_n58_des) Y,drain TotalCurrent(IdVgbg_n61_des) X,drain TotalCurrent(IdVgbg_n61_des) Y,drain TotalCurrent(IdVgbg_n64_des) X,drain TotalCurrent(IdVgbg_n64_des) Y,drain TotalCurrent(IdVgbg_n67_des) X,drain TotalCurrent(IdVgbg_n67_des) Y,drain TotalCurrent(IdVgbg_n70_des) X,drain TotalCurrent(IdVgbg_n70_des) Y,drain TotalCurrent(IdVgbg_n73_des) X,drain TotalCurrent(IdVgbg_n73_des) Y,drain TotalCurrent(IdVgbg_n76_des) X,drain TotalCurrent(IdVgbg_n76_des) Y,drain TotalCurrent(IdVgbg_n79_des) X,drain TotalCurrent(IdVgbg_n79_des) Y,drain TotalCurrent(IdVgbg_n82_des) X,drain TotalCurrent(IdVgbg_n82_des) Y,drain TotalCurrent(IdVgbg_n85_des) X,drain TotalCurrent(IdVgbg_n85_des) Y,drain TotalCurrent(IdVgbg_n88_des) X,drain TotalCurrent(IdVgbg_n88_des) Y,drain TotalCurrent(IdVgbg_n91_des) X,drain TotalCurrent(IdVgbg_n91_des) Y,drain TotalCurrent(IdVgbg_n94_des) X,drain TotalCurrent(IdVgbg_n94_des) Y,drain TotalCurrent(IdVgbg_n97_des) X,drain TotalCurrent(IdVgbg_n97_des) Y,drain TotalCurrent(IdVgbg_n100_des) X,drain TotalCurrent(IdVgbg_n100_des) Y
-0.41666667,1.3513907e-13,-0.41666667,4.1027355e-13,-0.41666667,5.1501177e-13,-0.41666667,5.7715443e-13,-0.41666667,5.9169977e-13,-0.41666667,6.0721995e-13,-0.41666667,6.1781612e-13,-0.41666667,6.2596374e-13,-0.41666667,6.3266817e-13,-0.41666667,6.383985e-13,-0.41666667,6.4341966e-13,-0.41666667,6.4789864e-13,-0.41666667,6.519483e-13,-0.41666667,6.5564882e-13,-0.41666667,6.5905938e-13,-0.41666667,6.6222499e-13,-0.41666667,6.6518073e-13,-0.41666667,6.6795448e-13,-0.41666667,6.7056882e-13,-0.41666667,6.730423e-13,-0.41666667,6.7539032e-13,-0.41666667,6.7762586e-13,-0.41666667,6.7975994e-13,-0.41666667,6.8180206e-13,-0.41666667,6.8376104e-13,-0.41666667,6.856528e-13,-0.41666667,6.8759988e-13
-0.35833333,3.1348613e-13,-0.35833333,9.6906049e-13,-0.35833333,1.2285669e-12,-0.35833333,1.3823694e-12,-0.35833333,1.4172061e-12,-0.35833333,1.4516369e-12,-0.35833333,1.4750534e-12,-0.35833333,1.4927961e-12,-0.35833333,1.5072704e-12,-0.35833333,1.519572e-12,-0.35833333,1.5303059e-12,-0.35833333,1.5398487e-12,-0.35833333,1.5484528e-12,-0.35833333,1.5562965e-12,-0.35833333,1.5635106e-12,-0.35833333,1.5701942e-12,-0.35833333,1.5764244e-12,-0.35833333,1.5822622e-12,-0.35833333,1.587757e-12,-0.35833333,1.592949e-12,-0.35833333,1.597872e-12,-0.35833333,1.6025539e-12,-0.35833333,1.6070188e-12,-0.35833333,1.611287e-12,-0.35833333,1.6153763e-12,-0.35833333,1.6193047e-12,-0.35833333,1.623119e-12
-0.3,7.3235945e-13,-0.3,2.2992752e-12,-0.3,2.9544788e-12,-0.3,3.3226182e-12,-0.3,3.4252562e-12,-0.3,3.5005502e-12,-0.3,3.5523015e-12,-0.3,3.5908953e-12,-0.3,3.6220875e-12,-0.3,3.6484406e-12,-0.3,3.6713359e-12,-0.3,3.6916212e-12,-0.3,3.7098597e-12,-0.3,3.7264465e-12,-0.3,3.7416703e-12,-0.3,3.7557489e-12,-0.3,3.7688508e-12,-0.3,3.7811094e-12,-0.3,3.7926319e-12,-0.3,3.8035062e-12,-0.3,3.8138049e-12,-0.3,3.8235889e-12,-0.3,3.8329098e-12,-0.3,3.8418117e-12,-0.3,3.8503327e-12,-0.3,3.8585064e-12,-0.3,3.8663713e-12
-0.24166667,1.7320202e-12,-0.24166667,5.4957962e-12,-0.24166667,7.1347824e-12,-0.24166667,8.058624e-12,-0.24166667,8.3438062e-12,-0.24166667,8.497451e-12,-0.24166667,8.6108777e-12,-0.24166667,8.6943664e-12,-0.24166667,8.761157e-12,-0.24166667,8.8172323e-12,-0.24166667,8.8657319e-12,-0.24166667,8.908553e-12,-0.24166667,8.9469439e-12,-0.24166667,8.9817742e-12,-0.24166667,9.013676e-12,-0.24166667,9.0431241e-12,-0.24166667,9.0704848e-12,-0.24166667,9.0960467e-12,-0.24166667,9.1200417e-12,-0.24166667,9.142659e-12,-0.24166667,9.1640548e-12,-0.24166667,9.18436e-12,-0.24166667,9.2036851e-12,-0.24166667,9.2221244e-12,-0.24166667,9.2397593e-12,-0.24166667,9.2566601e-12,-0.24166667,9.2728911e-12
-0.18333333,4.0890136e-12,-0.18333333,1.3178615e-11,-0.18333333,1.7215594e-11,-0.18333333,1.9554665e-11,-0.18333333,2.0320571e-11,-0.18333333,2.0576928e-11,-0.18333333,2.0819516e-11,-0.18333333,2.0995774e-11,-0.18333333,2.1135254e-11,-0.18333333,2.125157e-11,-0.18333333,2.1351699e-11,-0.18333333,2.1439785e-11,-0.18333333,2.1518525e-11,-0.18333333,2.1589787e-11,-0.18333333,2.165492e-11,-0.18333333,2.1714931e-11,-0.18333333,2.1770596e-11,-0.18333333,2.1822525e-11,-0.18333333,2.1871205e-11,-0.18333333,2.1917033e-11,-0.18333333,2.1960337e-11,-0.18333333,2.200139e-11,-0.18333333,2.2040424e-11,-0.18333333,2.2077634e-11,-0.18333333,2.2113189e-11,-0.18333333,2.2147237e-11,-0.18333333,2.2179905e-11
-0.125,9.6029233e-12,-0.125,3.1429244e-11,-0.125,4.1421486e-11,-0.125,4.7125912e-11,-0.125,4.8899208e-11,-0.125,4.9475561e-11,-0.125,4.9974195e-11,-0.125,5.0333933e-11,-0.125,5.0615343e-11,-0.125,5.0848322e-11,-0.125,5.1047889e-11,-0.125,5.1222798e-11,-0.125,5.1378682e-11,-0.125,5.1519409e-11,-0.125,5.1647755e-11,-0.125,5.176579e-11,-0.125,5.1875097e-11,-0.125,5.1976915e-11,-0.125,5.2072236e-11,-0.125,5.2161862e-11,-0.125,5.2246457e-11,-0.125,5.2326571e-11,-0.125,5.240267e-11,-0.125,5.2475149e-11,-0.125,5.2544346e-11,-0.125,5.2610555e-11,-0.125,5.2674032e-11
-0.066666667,2.2445483e-11,-0.066666667,7.452967e-11,-0.066666667,9.9147982e-11,-0.066666667,1.1294647e-10,-0.066666667,1.1692289e-10,-0.066666667,1.1826211e-10,-0.066666667,1.1922277e-10,-0.066666667,1.1993356e-10,-0.066666667,1.2048338e-10,-0.066666667,1.2093508e-10,-0.066666667,1.2132004e-10,-0.066666667,1.2165615e-10,-0.066666667,1.2195481e-10,-0.066666667,1.2222376e-10,-0.066666667,1.2246854e-10,-0.066666667,1.2269324e-10,-0.066666667,1.22901e-10,-0.066666667,1.2309424e-10,-0.066666667,1.2327492e-10,-0.066666667,1.234446e-10,-0.066666667,1.2360459e-10,-0.066666667,1.2375595e-10,-0.066666667,1.2389959e-10,-0.066666667,1.2403629e-10,-0.066666667,1.2416669e-10,-0.066666667,1.2429136e-10,-0.066666667,1.244108e-10
-0.0083333333,5.3595799e-11,-0.0083333333,1.7937604e-10,-0.0083333333,2.4123371e-10,-0.0083333333,2.7614702e-10,-0.0083333333,2.8516143e-10,-0.0083333333,2.8857052e-10,-0.0083333333,2.9031591e-10,-0.0083333333,2.9175089e-10,-0.0083333333,2.9284856e-10,-0.0083333333,2.9374337e-10,-0.0083333333,2.9450207e-10,-0.0083333333,2.9516209e-10,-0.0083333333,2.9574689e-10,-0.0083333333,2.9627231e-10,-0.0083333333,2.9674957e-10,-0.0083333333,2.9718696e-10,-0.0083333333,2.9759077e-10,-0.0083333333,2.9796589e-10,-0.0083333333,2.9831622e-10,-0.0083333333,2.986449e-10,-0.0083333333,2.9895449e-10,-0.0083333333,2.9924715e-10,-0.0083333333,2.9952466e-10,-0.0083333333,2.9978854e-10,-0.0083333333,3.000401e-10,-0.0083333333,3.0028046e-10,-0.0083333333,3.0051059e-10
0.05,1.3091898e-10,0.05,4.4019189e-10,0.05,5.9481944e-10,0.05,6.854784e-10,0.05,7.0661119e-10,0.05,7.1509974e-10,0.05,7.1832608e-10,0.05,7.212543e-10,0.05,7.2347438e-10,0.05,7.2526927e-10,0.05,7.2678324e-10,0.05,7.280955e-10,0.05,7.29255e-10,0.05,7.3029443e-10,0.05,7.3123687e-10,0.05,7.3209923e-10,0.05,7.3289431e-10,0.05,7.3363204e-10,0.05,7.3432027e-10,0.05,7.3496536e-10,0.05,7.3557248e-10,0.05,7.3614592e-10,0.05,7.366893e-10,0.05,7.3720565e-10,0.05,7.3769759e-10,0.05,7.3816736e-10,0.05,7.386169e-10
0.10833333,3.2123164e-10,0.10833333,1.0892098e-09,0.10833333,1.4758286e-09,0.10833333,1.7045618e-09,0.10833333,1.7561039e-09,0.10833333,1.7745728e-09,0.10833333,1.7819655e-09,0.10833333,1.7877571e-09,0.10833333,1.7921862e-09,0.10833333,1.7957376e-09,0.10833333,1.7987169e-09,0.10833333,1.8012897e-09,0.10833333,1.8035566e-09,0.10833333,1.8055844e-09,0.10833333,1.8074196e-09,0.10833333,1.8090964e-09,0.10833333,1.8106404e-09,0.10833333,1.8120714e-09,0.10833333,1.813405e-09,0.10833333,1.814654e-09,0.10833333,1.8158284e-09,0.10833333,1.816937e-09,0.10833333,1.8179867e-09,0.10833333,1.8189836e-09,0.10833333,1.8199328e-09,0.10833333,1.8208387e-09,0.10833333,1.8217053e-09
0.16666667,7.8514424e-10,0.16666667,2.6849606e-09,0.16666667,3.6543056e-09,0.16666667,4.2166028e-09,0.16666667,4.3420832e-09,0.16666667,4.3810666e-09,0.16666667,4.3986414e-09,0.16666667,4.4091557e-09,0.16666667,4.4177613e-09,0.16666667,4.4246035e-09,0.16666667,4.4303106e-09,0.16666667,4.4352201e-09,0.16666667,4.4395336e-09,0.16666667,4.4433837e-09,0.16666667,4.4468621e-09,0.16666667,4.4500355e-09,0.16666667,4.4529538e-09,0.16666667,4.4556557e-09,0.16666667,4.4581714e-09,0.16666667,4.4605252e-09,0.16666667,4.4627371e-09,0.16666667,4.4648233e-09,0.16666667,4.4667976e-09,0.16666667,4.4686715e-09,0.16666667,4.4704548e-09,0.16666667,4.472156e-09,0.16666667,4.4737825e-09
0.225,1.9075983e-09,0.225,6.5893709e-09,0.225,9.0241863e-09,0.225,1.04206e-08,0.225,1.0717559e-08,0.225,1.0803528e-08,0.225,1.0843106e-08,0.225,1.086106e-08,0.225,1.0877557e-08,0.225,1.0890573e-08,0.225,1.0901365e-08,0.225,1.0910608e-08,0.225,1.0918708e-08,0.225,1.092592e-08,0.225,1.0932426e-08,0.225,1.0938352e-08,0.225,1.0943795e-08,0.225,1.0948829e-08,0.225,1.0953512e-08,0.225,1.095789e-08,0.225,1.0962001e-08,0.225,1.0965876e-08,0.225,1.0969541e-08,0.225,1.0973018e-08,0.225,1.0976325e-08,0.225,1.0979478e-08,0.225,1.0982492e-08
0.28333333,4.6018076e-09,0.28333333,1.6130582e-08,0.28333333,2.2308729e-08,0.28333333,2.5905584e-08,0.28333333,2.6630391e-08,0.28333333,2.6829592e-08,0.28333333,2.6913029e-08,0.28333333,2.6951115e-08,0.28333333,2.6982617e-08,0.28333333,2.700792e-08,0.28333333,2.7028762e-08,0.28333333,2.7046539e-08,0.28333333,2.7062189e-08,0.28333333,2.7075859e-08,0.28333333,2.7088278e-08,0.28333333,2.7099574e-08,0.28333333,2.7109937e-08,0.28333333,2.7119512e-08,0.28333333,2.712841e-08,0.28333333,2.7136722e-08,0.28333333,2.7144522e-08,0.28333333,2.7151869e-08,0.28333333,2.7158814e-08,0.28333333,2.7165399e-08,0.28333333,2.717166e-08,0.28333333,2.7177627e-08,0.28333333,2.7183327e-08
0.34166667,1.0544786e-08,0.34166667,3.8056046e-08,0.34166667,5.3340339e-08,0.34166667,6.2507434e-08,0.34166667,6.432069e-08,0.34166667,6.4779089e-08,0.34166667,6.495217e-08,0.34166667,6.5041298e-08,0.34166667,6.5098416e-08,0.34166667,6.51472e-08,0.34166667,6.5187108e-08,0.34166667,6.5220999e-08,0.34166667,6.5250429e-08,0.34166667,6.5276593e-08,0.34166667,6.5300044e-08,0.34166667,6.5321353e-08,0.34166667,6.5340876e-08,0.34166667,6.5358891e-08,0.34166667,6.5375618e-08,0.34166667,6.539123e-08,0.34166667,6.5405867e-08,0.34166667,6.5419646e-08,0.34166667,6.5432662e-08,0.34166667,6.5444995e-08,0.34166667,6.5456716e-08,0.34166667,6.5467881e-08,0.34166667,6.5478542e-08
0.4,2.1666505e-08,0.4,8.2063105e-08,0.4,1.1817754e-07,0.4,1.4035867e-07,0.4,1.448876e-07,0.4,1.4595105e-07,0.4,1.4631596e-07,0.4,1.4651155e-07,0.4,1.4661257e-07,0.4,1.4670356e-07,0.4,1.467782e-07,0.4,1.4684203e-07,0.4,1.4689561e-07,0.4,1.4694413e-07,0.4,1.4698692e-07,0.4,1.4702603e-07,0.4,1.470618e-07,0.4,1.4709478e-07,0.4,1.4712534e-07,0.4,1.4715386e-07,0.4,1.4718056e-07,0.4,1.4720568e-07,0.4,1.4722939e-07,0.4,1.4725185e-07,0.4,1.4727317e-07,0.4,1.4729347e-07,0.4,1.4731284e-07
0.45833333,3.961052e-08,0.45833333,1.579138e-07,0.45833333,2.3801254e-07,0.45833333,2.9073678e-07,0.45833333,3.020178e-07,0.45833333,3.0466075e-07,0.45833333,3.0547877e-07,0.45833333,3.058831e-07,0.45833333,3.0609411e-07,0.45833333,3.0626516e-07,0.45833333,3.0640809e-07,0.45833333,3.0652844e-07,0.45833333,3.0663173e-07,0.45833333,3.067209e-07,0.45833333,3.068039e-07,0.45833333,3.0687711e-07,0.45833333,3.0694413e-07,0.45833333,3.0700581e-07,0.45833333,3.0706295e-07,0.45833333,3.0711616e-07,0.45833333,3.0716596e-07,0.45833333,3.0721275e-07,0.45833333,3.0725688e-07,0.45833333,3.0729864e-07,0.45833333,3.0733826e-07,0.45833333,3.0737596e-07,0.45833333,3.0741191e-07
0.51666667,6.8154851e-08,0.51666667,2.7995777e-07,0.51666667,4.4252196e-07,0.51666667,5.711701e-07,0.51666667,6.012855e-07,0.51666667,6.0882713e-07,0.51666667,6.1100325e-07,0.51666667,6.1194422e-07,0.51666667,6.1249641e-07,0.51666667,6.128382e-07,0.51666667,6.1314661e-07,0.51666667,6.1340588e-07,0.51666667,6.1363454e-07,0.51666667,6.1382231e-07,0.51666667,6.1400668e-07,0.51666667,6.1414884e-07,0.51666667,6.1429006e-07,0.51666667,6.1442e-07,0.51666667,6.1454022e-07,0.51666667,6.1465207e-07,0.51666667,6.1475664e-07,0.51666667,6.1485481e-07,0.51666667,6.1494732e-07,0.51666667,6.1503478e-07,0.51666667,6.1511773e-07,0.51666667,6.1519659e-07,0.51666667,6.1527175e-07
0.575,1.1701741e-07,0.575,4.8454851e-07,0.575,7.8503064e-07,0.575,1.0831083e-06,0.575,1.1758936e-06,0.575,1.2010658e-06,0.575,1.2084506e-06,0.575,1.211236e-06,0.575,1.2128576e-06,0.575,1.213751e-06,0.575,1.2145326e-06,0.575,1.2152069e-06,0.575,1.2157752e-06,0.575,1.2162593e-06,0.575,1.2166319e-06,0.575,1.2170978e-06,0.575,1.2174426e-06,0.575,1.2177671e-06,0.575,1.2180675e-06,0.575,1.2183467e-06,0.575,1.2186075e-06,0.575,1.2188521e-06,0.575,1.2190825e-06,0.575,1.2193002e-06,0.575,1.2195065e-06,0.575,1.2197025e-06,0.575,1.2198893e-06
