drain TotalCurrent(IdVgdg_n71_des) X,drain TotalCurrent(IdVgdg_n71_des) Y,drain TotalCurrent(IdVgdg_n72_des) X,drain TotalCurrent(IdVgdg_n72_des) Y,drain TotalCurrent(IdVgdg_n73_des) X,drain TotalCurrent(IdVgdg_n73_des) Y,drain TotalCurrent(IdVgdg_n74_des) X,drain TotalCurrent(IdVgdg_n74_des) Y,drain TotalCurrent(IdVgdg_n75_des) X,drain TotalCurrent(IdVgdg_n75_des) Y,drain TotalCurrent(IdVgdg_n76_des) X,drain TotalCurrent(IdVgdg_n76_des) Y,drain TotalCurrent(IdVgdg_n77_des) X,drain TotalCurrent(IdVgdg_n77_des) Y,drain TotalCurrent(IdVgdg_n78_des) X,drain TotalCurrent(IdVgdg_n78_des) Y,drain TotalCurrent(IdVgdg_n79_des) X,drain TotalCurrent(IdVgdg_n79_des) Y,drain TotalCurrent(IdVgdg_n80_des) X,drain TotalCurrent(IdVgdg_n80_des) Y,drain TotalCurrent(IdVgdg_n81_des) X,drain TotalCurrent(IdVgdg_n81_des) Y,drain TotalCurrent(IdVgdg_n82_des) X,drain TotalCurrent(IdVgdg_n82_des) Y,drain TotalCurrent(IdVgdg_n83_des) X,drain TotalCurrent(IdVgdg_n83_des) Y,drain TotalCurrent(IdVgdg_n84_des) X,drain TotalCurrent(IdVgdg_n84_des) Y,drain TotalCurrent(IdVgdg_n85_des) X,drain TotalCurrent(IdVgdg_n85_des) Y,drain TotalCurrent(IdVgdg_n86_des) X,drain TotalCurrent(IdVgdg_n86_des) Y,drain TotalCurrent(IdVgdg_n87_des) X,drain TotalCurrent(IdVgdg_n87_des) Y,drain TotalCurrent(IdVgdg_n88_des) X,drain TotalCurrent(IdVgdg_n88_des) Y,drain TotalCurrent(IdVgdg_n89_des) X,drain TotalCurrent(IdVgdg_n89_des) Y,drain TotalCurrent(IdVgdg_n90_des) X,drain TotalCurrent(IdVgdg_n90_des) Y,drain TotalCurrent(IdVgdg_n91_des) X,drain TotalCurrent(IdVgdg_n91_des) Y,drain TotalCurrent(IdVgdg_n92_des) X,drain TotalCurrent(IdVgdg_n92_des) Y,drain TotalCurrent(IdVgdg_n93_des) X,drain TotalCurrent(IdVgdg_n93_des) Y,drain TotalCurrent(IdVgdg_n94_des) X,drain TotalCurrent(IdVgdg_n94_des) Y,drain TotalCurrent(IdVgdg_n95_des) X,drain TotalCurrent(IdVgdg_n95_des) Y,drain TotalCurrent(IdVgdg_n96_des) X,drain TotalCurrent(IdVgdg_n96_des) Y,drain TotalCurrent(IdVgdg_n97_des) X,drain TotalCurrent(IdVgdg_n97_des) Y
-0.41666667,6.4780688e-16,-0.41666667,1.7495018e-15,-0.41666667,2.035984e-15,-0.41666667,2.1451099e-15,-0.41666667,2.199301e-15,-0.41666667,2.2441618e-15,-0.41666667,2.2832759e-15,-0.41666667,2.3181763e-15,-0.41666667,2.3498148e-15,-0.41666667,2.3788381e-15,-0.41666667,2.4057098e-15,-0.41666667,2.4307754e-15,-0.41666667,2.4543e-15,-0.41666667,2.4764921e-15,-0.41666667,2.4975189e-15,-0.41666667,2.517517e-15,-0.41666667,2.5365991e-15,-0.41666667,2.5548599e-15,-0.41666667,2.5723793e-15,-0.41666667,2.5892259e-15,-0.41666667,2.6054586e-15,-0.41666667,2.6211296e-15,-0.41666667,2.6362925e-15,-0.41666667,2.6511039e-15,-0.41666667,2.6671653e-15,-0.41666667,2.7057757e-15,-0.41666667,3.0523155e-15
-0.35833333,5.7116646e-15,-0.35833333,1.5661122e-14,-0.35833333,1.8299632e-14,-0.35833333,1.9285615e-14,-0.35833333,1.9821918e-14,-0.35833333,2.0252741e-14,-0.35833333,2.0620799e-14,-0.35833333,2.0944748e-14,-0.35833333,2.1235496e-14,-0.35833333,2.1500144e-14,-0.35833333,2.174364e-14,-0.35833333,2.1969588e-14,-0.35833333,2.218071e-14,-0.35833333,2.2379116e-14,-0.35833333,2.2566478e-14,-0.35833333,2.2744147e-14,-0.35833333,2.2913233e-14,-0.35833333,2.3074655e-14,-0.35833333,2.322919e-14,-0.35833333,2.3377496e-14,-0.35833333,2.3520138e-14,-0.35833333,2.3657605e-14,-0.35833333,2.3790326e-14,-0.35833333,2.3918698e-14,-0.35833333,2.4043396e-14,-0.35833333,2.4169351e-14,-0.35833333,2.4359844e-14
-0.3,4.8474506e-14,-0.3,1.3458927e-13,-0.3,1.5961951e-13,-0.3,1.6895132e-13,-0.3,1.7402247e-13,-0.3,1.7802512e-13,-0.3,1.8134922e-13,-0.3,1.8422258e-13,-0.3,1.8676881e-13,-0.3,1.8906412e-13,-0.3,1.9115969e-13,-0.3,1.9309186e-13,-0.3,1.9488752e-13,-0.3,1.965672e-13,-0.3,1.9814693e-13,-0.3,1.9963955e-13,-0.3,2.0105548e-13,-0.3,2.024033e-13,-0.3,2.0369019e-13,-0.3,2.049222e-13,-0.3,2.0610451e-13,-0.3,2.0724155e-13,-0.3,2.0833718e-13,-0.3,2.0939477e-13,-0.3,2.1041735e-13,-0.3,2.1140855e-13,-0.3,2.1238445e-13
-0.24166667,3.8681931e-13,-0.24166667,1.0957256e-12,-0.24166667,1.3193785e-12,-0.24166667,1.4251447e-12,-0.24166667,1.4636631e-12,-0.24166667,1.4985618e-12,-0.24166667,1.5265075e-12,-0.24166667,1.5500756e-12,-0.24166667,1.5706139e-12,-0.24166667,1.5889001e-12,-0.24166667,1.6054324e-12,-0.24166667,1.6205541e-12,-0.24166667,1.634513e-12,-0.24166667,1.6474946e-12,-0.24166667,1.659642e-12,-0.24166667,1.671068e-12,-0.24166667,1.6818632e-12,-0.24166667,1.6921018e-12,-0.24166667,1.701845e-12,-0.24166667,1.7111442e-12,-0.24166667,1.720043e-12,-0.24166667,1.7285787e-12,-0.24166667,1.7367833e-12,-0.24166667,1.7446848e-12,-0.24166667,1.7523076e-12,-0.24166667,1.7596735e-12,-0.24166667,1.7668044e-12
-0.18333333,2.723558e-12,-0.18333333,8.0219599e-12,-0.18333333,9.8805693e-12,-0.18333333,1.087278e-11,-0.18333333,1.121499e-11,-0.18333333,1.146116e-11,-0.18333333,1.1658902e-11,-0.18333333,1.1819913e-11,-0.18333333,1.1956987e-11,-0.18333333,1.2076999e-11,-0.18333333,1.2184099e-11,-0.18333333,1.2281027e-11,-0.18333333,1.2369708e-11,-0.18333333,1.2451551e-11,-0.18333333,1.2527624e-11,-0.18333333,1.2598753e-11,-0.18333333,1.2665598e-11,-0.18333333,1.2728689e-11,-0.18333333,1.2788461e-11,-0.18333333,1.2845277e-11,-0.18333333,1.2899441e-11,-0.18333333,1.2951212e-11,-0.18333333,1.3000811e-11,-0.18333333,1.3048429e-11,-0.18333333,1.3094234e-11,-0.18333333,1.313837e-11,-0.18333333,1.3180968e-11
-0.125,1.5587153e-11,-0.125,4.8626249e-11,-0.125,6.2019223e-11,-0.125,6.93441e-11,-0.125,7.2031348e-11,-0.125,7.3100712e-11,-0.125,7.4094052e-11,-0.125,7.4867231e-11,-0.125,7.5504321e-11,-0.125,7.6049611e-11,-0.125,7.6527957e-11,-0.125,7.6954961e-11,-0.125,7.7341185e-11,-0.125,7.7694156e-11,-0.125,7.8019451e-11,-0.125,7.832132e-11,-0.125,7.8603089e-11,-0.125,7.8867408e-11,-0.125,7.9116427e-11,-0.125,7.9351913e-11,-0.125,7.9575339e-11,-0.125,7.9787947e-11,-0.125,7.9990793e-11,-0.125,8.0184782e-11,-0.125,8.0370697e-11,-0.125,8.054922e-11,-0.125,8.072095e-11
-0.066666667,7.0445071e-11,-0.066666667,2.3226353e-10,-0.066666667,3.073021e-10,-0.066666667,3.4860905e-10,-0.066666667,3.602833e-10,-0.066666667,3.6501385e-10,-0.066666667,3.6786922e-10,-0.066666667,3.7018455e-10,-0.066666667,3.7201395e-10,-0.066666667,3.7353612e-10,-0.066666667,3.7484469e-10,-0.066666667,3.7599464e-10,-0.066666667,3.7702165e-10,-0.066666667,3.7795031e-10,-0.066666667,3.7879836e-10,-0.066666667,3.795791e-10,-0.066666667,3.8030272e-10,-0.066666667,3.8097724e-10,-0.066666667,3.8160909e-10,-0.066666667,3.822035e-10,-0.066666667,3.8276477e-10,-0.066666667,3.832965e-10,-0.066666667,3.8380173e-10,-0.066666667,3.8428305e-10,-0.066666667,3.8474268e-10,-0.066666667,3.8518255e-10,-0.066666667,3.8560433e-10
-0.0083333333,2.7143045e-10,-0.0083333333,9.2382837e-10,-0.0083333333,1.2560467e-09,-0.0083333333,1.441835e-09,-0.0083333333,1.4822249e-09,-0.0083333333,1.4969814e-09,-0.0083333333,1.5027326e-09,-0.0083333333,1.5075343e-09,-0.0083333333,1.5111753e-09,-0.0083333333,1.5141055e-09,-0.0083333333,1.5165697e-09,-0.0083333333,1.5187011e-09,-0.0083333333,1.5205812e-09,-0.0083333333,1.5222643e-09,-0.0083333333,1.5237887e-09,-0.0083333333,1.5251823e-09,-0.0083333333,1.526466e-09,-0.0083333333,1.5276562e-09,-0.0083333333,1.5287659e-09,-0.0083333333,1.5298053e-09,-0.0083333333,1.530783e-09,-0.0083333333,1.5317061e-09,-0.0083333333,1.5325803e-09,-0.0083333333,1.5334107e-09,-0.0083333333,1.5342015e-09,-0.0083333333,1.5349564e-09,-0.0083333333,1.5356785e-09
0.05,9.5001792e-10,0.05,3.2925651e-09,0.05,4.5266279e-09,0.05,5.2381065e-09,0.05,5.3698019e-09,0.05,5.4050146e-09,0.05,5.4189966e-09,0.05,5.4258545e-09,0.05,5.431706e-09,0.05,5.4362368e-09,0.05,5.4399521e-09,0.05,5.4431113e-09,0.05,5.4458639e-09,0.05,5.4483048e-09,0.05,5.4504987e-09,0.05,5.4524917e-09,0.05,5.454318e-09,0.05,5.4560037e-09,0.05,5.4575691e-09,0.05,5.4590305e-09,0.05,5.460401e-09,0.05,5.4616913e-09,0.05,5.4629105e-09,0.05,5.464066e-09,0.05,5.4651643e-09,0.05,5.4662109e-09,0.05,5.4672103e-09
0.10833333,3.0188631e-09,0.10833333,1.0723001e-08,0.10833333,1.4918233e-08,0.10833333,1.7341745e-08,0.10833333,1.7770722e-08,0.10833333,1.7858499e-08,0.10833333,1.7887444e-08,0.10833333,1.7898655e-08,0.10833333,1.7906911e-08,0.10833333,1.7913235e-08,0.10833333,1.7918271e-08,0.10833333,1.7922452e-08,0.10833333,1.7926046e-08,0.10833333,1.7929206e-08,0.10833333,1.7932024e-08,0.10833333,1.7934569e-08,0.10833333,1.793689e-08,0.10833333,1.7939023e-08,0.10833333,1.7940997e-08,0.10833333,1.7942835e-08,0.10833333,1.7944554e-08,0.10833333,1.7946169e-08,0.10833333,1.7947692e-08,0.10833333,1.7949133e-08,0.10833333,1.7950501e-08,0.10833333,1.7951803e-08,0.10833333,1.7953045e-08
