c(g:g)(CV_n101_ac_des) X,c(g:g)(CV_n101_ac_des) Y,c(g:g)(CV_n102_ac_des) X,c(g:g)(CV_n102_ac_des) Y,c(g:g)(CV_n103_ac_des) X,c(g:g)(CV_n103_ac_des) Y,c(g:g)(CV_n104_ac_des) X,c(g:g)(CV_n104_ac_des) Y,c(g:g)(CV_n105_ac_des) X,c(g:g)(CV_n105_ac_des) Y,c(g:g)(CV_n106_ac_des) X,c(g:g)(CV_n106_ac_des) Y,c(g:g)(CV_n107_ac_des) X,c(g:g)(CV_n107_ac_des) Y,c(g:g)(CV_n108_ac_des) X,c(g:g)(CV_n108_ac_des) Y,c(g:g)(CV_n109_ac_des) X,c(g:g)(CV_n109_ac_des) Y,c(g:g)(CV_n110_ac_des) X,c(g:g)(CV_n110_ac_des) Y,c(g:g)(CV_n111_ac_des) X,c(g:g)(CV_n111_ac_des) Y,c(g:g)(CV_n112_ac_des) X,c(g:g)(CV_n112_ac_des) Y,c(g:g)(CV_n113_ac_des) X,c(g:g)(CV_n113_ac_des) Y,c(g:g)(CV_n114_ac_des) X,c(g:g)(CV_n114_ac_des) Y,c(g:g)(CV_n115_ac_des) X,c(g:g)(CV_n115_ac_des) Y,c(g:g)(CV_n116_ac_des) X,c(g:g)(CV_n116_ac_des) Y,c(g:g)(CV_n117_ac_des) X,c(g:g)(CV_n117_ac_des) Y,c(g:g)(CV_n118_ac_des) X,c(g:g)(CV_n118_ac_des) Y,c(g:g)(CV_n119_ac_des) X,c(g:g)(CV_n119_ac_des) Y,c(g:g)(CV_n120_ac_des) X,c(g:g)(CV_n120_ac_des) Y,c(g:g)(CV_n121_ac_des) X,c(g:g)(CV_n121_ac_des) Y,c(g:g)(CV_n122_ac_des) X,c(g:g)(CV_n122_ac_des) Y,c(g:g)(CV_n123_ac_des) X,c(g:g)(CV_n123_ac_des) Y,c(g:g)(CV_n124_ac_des) X,c(g:g)(CV_n124_ac_des) Y,c(g:g)(CV_n125_ac_des) X,c(g:g)(CV_n125_ac_des) Y,c(g:g)(CV_n126_ac_des) X,c(g:g)(CV_n126_ac_des) Y,c(g:g)(CV_n127_ac_des) X,c(g:g)(CV_n127_ac_des) Y
0.34615385,6.9970069e-15,0.34615385,6.928706e-15,0.34615385,6.858354e-15,0.34615385,6.7853508e-15,0.34615385,6.7649916e-15,0.34615385,6.7594119e-15,0.34615385,6.7575684e-15,0.34615385,6.7564986e-15,0.34615385,6.755988e-15,0.34615385,6.7554297e-15,0.34615385,6.7548682e-15,0.34615385,6.7542851e-15,0.34615385,6.7540472e-15,0.34615385,6.7538335e-15,0.34615385,6.7536899e-15,0.34615385,6.7535505e-15,0.34615385,6.7534203e-15,0.34615385,6.7532995e-15,0.34615385,6.7531874e-15,0.34615385,6.753083e-15,0.34615385,6.7529855e-15,0.34615385,6.7528942e-15,0.34615385,6.7528085e-15,0.34615385,6.752728e-15,0.34615385,6.7526521e-15,0.34615385,6.7525803e-15,0.34615385,6.7525124e-15
0.48076923,7.255801e-15,0.48076923,7.2101197e-15,0.48076923,7.1336482e-15,0.48076923,6.9640523e-15,0.48076923,6.8591238e-15,0.48076923,6.8181413e-15,0.48076923,6.8045199e-15,0.48076923,6.7992896e-15,0.48076923,6.7956349e-15,0.48076923,6.793675e-15,0.48076923,6.7915507e-15,0.48076923,6.789567e-15,0.48076923,6.7866417e-15,0.48076923,6.7856142e-15,0.48076923,6.7848665e-15,0.48076923,6.7843015e-15,0.48076923,6.783775e-15,0.48076923,6.7832651e-15,0.48076923,6.7827837e-15,0.48076923,6.7823321e-15,0.48076923,6.7819077e-15,0.48076923,6.7815082e-15,0.48076923,6.7811317e-15,0.48076923,6.7807764e-15,0.48076923,6.7804406e-15,0.48076923,6.7801227e-15,0.48076923,6.7798211e-15
0.61538462,7.4781668e-15,0.61538462,7.4412163e-15,0.61538462,7.4233778e-15,0.61538462,7.4015763e-15,0.61538462,7.2794299e-15,0.61538462,7.112231e-15,0.61538462,7.0232761e-15,0.61538462,6.986632e-15,0.61538462,6.9720708e-15,0.61538462,6.9600505e-15,0.61538462,6.9534973e-15,0.61538462,6.9499389e-15,0.61538462,6.9414269e-15,0.61538462,6.9365882e-15,0.61538462,6.9264542e-15,0.61538462,6.9240851e-15,0.61538462,6.9222113e-15,0.61538462,6.9206854e-15,0.61538462,6.9192046e-15,0.61538462,6.9177936e-15,0.61538462,6.9164561e-15,0.61538462,6.9151817e-15,0.61538462,6.9139659e-15,0.61538462,6.9128066e-15,0.61538462,6.9117014e-15,0.61538462,6.9106481e-15,0.61538462,6.9096436e-15
0.75,8.168129e-15,0.75,8.0123876e-15,0.75,7.893084e-15,0.75,7.8120108e-15,0.75,7.809349e-15,0.75,7.7832888e-15,0.75,7.711068e-15,0.75,7.6180106e-15,0.75,7.5424343e-15,0.75,7.5016377e-15,0.75,7.4807026e-15,0.75,7.4738254e-15,0.75,7.4659249e-15,0.75,7.4618841e-15,0.75,7.448424e-15,0.75,7.4228193e-15,0.75,7.418614e-15,0.75,7.4151307e-15,0.75,7.4098403e-15,0.75,7.4072057e-15,0.75,7.4048469e-15,0.75,7.4026692e-15,0.75,7.4006126e-15,0.75,7.3986405e-15,0.75,7.396737e-15,0.75,7.3948967e-15,0.75,7.3931193e-15
0.88461538,9.4930435e-15,0.88461538,9.3004167e-15,0.88461538,9.02877e-15,0.88461538,8.5899254e-15,0.88461538,8.4507776e-15,0.88461538,8.4192029e-15,0.88461538,8.4069394e-15,0.88461538,8.3745969e-15,0.88461538,8.3270957e-15,0.88461538,8.2733203e-15,0.88461538,8.2301511e-15,0.88461538,8.1942031e-15,0.88461538,8.1720057e-15,0.88461538,8.1580372e-15,0.88461538,8.1484711e-15,0.88461538,8.1432438e-15,0.88461538,8.1448269e-15,0.88461538,8.1465065e-15,0.88461538,8.1324194e-15,0.88461538,8.1307551e-15,0.88461538,8.1257349e-15,0.88461538,8.106535e-15,0.88461538,8.1043248e-15,0.88461538,8.1023815e-15,0.88461538,8.100598e-15,0.88461538,8.0989115e-15,0.88461538,8.0972845e-15
1.0192308,1.0368393e-14,1.0192308,1.0257394e-14,1.0192308,1.0086318e-14,1.0192308,9.6114047e-15,1.0192308,9.0936674e-15,1.0192308,8.8633477e-15,1.0192308,8.806069e-15,1.0192308,8.7793845e-15,1.0192308,8.7544696e-15,1.0192308,8.7209355e-15,1.0192308,8.683848e-15,1.0192308,8.651598e-15,1.0192308,8.614564e-15,1.0192308,8.5890266e-15,1.0192308,8.5718666e-15,1.0192308,8.5575899e-15,1.0192308,8.5478263e-15,1.0192308,8.5406182e-15,1.0192308,8.5364687e-15,1.0192308,8.5295379e-15,1.0192308,8.5286692e-15,1.0192308,8.5274825e-15,1.0192308,8.5207949e-15,1.0192308,8.5186566e-15,1.0192308,8.5190728e-15,1.0192308,8.5046128e-15,1.0192308,8.5030714e-15
1.1538462,1.0880113e-14,1.1538462,1.0813193e-14,1.1538462,1.0713637e-14,1.1538462,1.0436231e-14,1.1538462,1.0014386e-14,1.1538462,9.474232e-15,1.1538462,9.1359024e-15,1.1538462,9.0397e-15,1.1538462,9.0045911e-15,1.1538462,8.9770364e-15,1.1538462,8.9482455e-15,1.1538462,8.9196106e-15,1.1538462,8.8943379e-15,1.1538462,8.8598299e-15,1.1538462,8.8326095e-15,1.1538462,8.8130267e-15,1.1538462,8.7986798e-15,1.1538462,8.7867121e-15,1.1538462,8.7749624e-15,1.1538462,8.766964e-15,1.1538462,8.7603875e-15,1.1538462,8.7561694e-15,1.1538462,8.7504462e-15,1.1538462,8.7487209e-15,1.1538462,8.7476261e-15,1.1538462,8.7488253e-15,1.1538462,8.766152e-15
1.2884615,1.1213074e-14,1.2884615,1.1167593e-14,1.2884615,1.1101985e-14,1.2884615,1.0932734e-14,1.2884615,1.0685514e-14,1.2884615,1.03178e-14,1.2884615,9.8027099e-15,1.2884615,9.3622468e-15,1.2884615,9.2061834e-15,1.2884615,9.1573492e-15,1.2884615,9.1277672e-15,1.2884615,9.1003518e-15,1.2884615,9.0742473e-15,1.2884615,9.0537163e-15,1.2884615,9.0228e-15,1.2884615,8.9944169e-15,1.2884615,8.9737274e-15,1.2884615,8.9564434e-15,1.2884615,8.9446627e-15,1.2884615,8.9337553e-15,1.2884615,8.9234851e-15,1.2884615,8.9129895e-15,1.2884615,8.9058019e-15,1.2884615,8.9013404e-15,1.2884615,8.8981471e-15,1.2884615,8.8917138e-15,1.2884615,8.8896451e-15
1.4230769,1.1446767e-14,1.4230769,1.1413883e-14,1.4230769,1.1367782e-14,1.4230769,1.1252797e-14,1.4230769,1.1096006e-14,1.4230769,1.0876096e-14,1.4230769,1.0556139e-14,1.4230769,1.0092185e-14,1.4230769,9.5858339e-15,1.4230769,9.3437403e-15,1.4230769,9.2727925e-15,1.4230769,9.238316e-15,1.4230769,9.210901e-15,1.4230769,9.1862126e-15,1.4230769,9.1684102e-15,1.4230769,9.1423044e-15,1.4230769,9.1117574e-15,1.4230769,9.089137e-15,1.4230769,9.0729906e-15,1.4230769,9.0555903e-15,1.4230769,9.0452307e-15,1.4230769,9.0383444e-15,1.4230769,9.028359e-15,1.4230769,9.0170853e-15,1.4230769,9.0068457e-15,1.4230769,9.0021843e-15,1.4230769,8.9980005e-15
1.5576923,1.1627109e-14,1.5576923,1.1601218e-14,1.5576923,1.1565643e-14,1.5576923,1.1481276e-14,1.5576923,1.1372948e-14,1.5576923,1.1227922e-14,1.5576923,1.1031745e-14,1.5576923,1.0751982e-14,1.5576923,1.0345955e-14,1.5576923,9.8251878e-15,1.5576923,9.4797682e-15,1.5576923,9.371396e-15,1.5576923,9.3287204e-15,1.5576923,9.3012121e-15,1.5576923,9.2761934e-15,1.5576923,9.258984e-15,1.5576923,9.2470129e-15,1.5576923,9.2081562e-15,1.5576923,9.1801952e-15,1.5576923,9.1609889e-15,1.5576923,9.1471819e-15,1.5576923,9.1336411e-15,1.5576923,9.1201478e-15,1.5576923,9.1139256e-15,1.5576923,9.1054864e-15,1.5576923,9.0909086e-15,1.5576923,9.0838895e-15
1.6923077,1.1773275e-14,1.6923077,1.1752035e-14,1.6923077,1.1723228e-14,1.6923077,1.1656678e-14,1.6923077,1.1574976e-14,1.6923077,1.1472571e-14,1.6923077,1.1338926e-14,1.6923077,1.1161901e-14,1.6923077,1.0916847e-14,1.6923077,1.0564798e-14,1.6923077,1.007258e-14,1.6923077,9.6326688e-15,1.6923077,9.464244e-15,1.6923077,9.4079823e-15,1.6923077,9.3764377e-15,1.6923077,9.3522153e-15,1.6923077,9.3341516e-15,1.6923077,9.3207451e-15,1.6923077,9.3131673e-15,1.6923077,9.2637826e-15,1.6923077,9.2363888e-15,1.6923077,9.2180322e-15,1.6923077,9.2057419e-15,1.6923077,9.19492e-15,1.6923077,9.1796098e-15,1.6923077,9.1735055e-15,1.6923077,9.1704778e-15
1.8269231,1.1895226e-14,1.8269231,1.1877435e-14,1.8269231,1.1853395e-14,1.8269231,1.179881e-14,1.8269231,1.1733621e-14,1.8269231,1.165475e-14,1.8269231,1.1557712e-14,1.8269231,1.143459e-14,1.8269231,1.1273989e-14,1.8269231,1.1057994e-14,1.8269231,1.0752103e-14,1.8269231,1.0310838e-14,1.8269231,9.8141159e-15,1.8269231,9.5606886e-15,1.8269231,9.4815898e-15,1.8269231,9.4435702e-15,1.8269231,9.4179245e-15,1.8269231,9.3983159e-15,1.8269231,9.3828156e-15,1.8269231,9.3709717e-15,1.8269231,9.3584122e-15,1.8269231,9.3025677e-15,1.8269231,9.2830909e-15,1.8269231,9.2675624e-15,1.8269231,9.2535649e-15,1.8269231,9.2435312e-15,1.8269231,9.2328101e-15
1.9615385,1.1997914e-14,1.9615385,1.1982804e-14,1.9615385,1.1962604e-14,1.9615385,1.1917032e-14,1.9615385,1.1863214e-14,1.9615385,1.1799593e-14,1.9615385,1.1723612e-14,1.9615385,1.1631619e-14,1.9615385,1.1517877e-14,1.9615385,1.1371369e-14,1.9615385,1.1179515e-14,1.9615385,1.0912233e-14,1.9615385,1.0526737e-14,1.9615385,1.0022799e-14,1.9615385,9.6704983e-15,1.9615385,9.5525882e-15,1.9615385,9.5054039e-15,1.9615385,9.4770267e-15,1.9615385,9.451122e-15,1.9615385,9.4352886e-15,1.9615385,9.4222942e-15,1.9615385,9.4148071e-15,1.9615385,9.3874062e-15,1.9615385,9.3537006e-15,1.9615385,9.3211752e-15,1.9615385,9.3056839e-15,1.9615385,9.2924709e-15
2.0961538,1.2086666e-14,2.0961538,1.2073549e-14,2.0961538,1.2056111e-14,2.0961538,1.2017324e-14,2.0961538,1.1972395e-14,2.0961538,1.1919552e-14,2.0961538,1.1857623e-14,2.0961538,1.1784499e-14,2.0961538,1.1697173e-14,2.0961538,1.1591125e-14,2.0961538,1.1457353e-14,2.0961538,1.1284775e-14,2.0961538,1.105052e-14,2.0961538,1.0716183e-14,2.0961538,1.0244291e-14,2.0961538,9.8052539e-15,2.0961538,9.6265218e-15,2.0961538,9.5652101e-15,2.0961538,9.5312355e-15,2.0961538,9.5042601e-15,2.0961538,9.4856197e-15,2.0961538,9.4659423e-15,2.0961538,9.448732e-15,2.0961538,9.4453433e-15,2.0961538,9.4107175e-15,2.0961538,9.3715347e-15,2.0961538,9.3533691e-15
2.2307692,1.2164477e-14,2.2307692,1.215293e-14,2.2307692,1.2137664e-14,2.2307692,1.2104011e-14,2.2307692,1.2065516e-14,2.2307692,1.202121e-14,2.2307692,1.1969627e-14,2.2307692,1.1909477e-14,2.2307692,1.183914e-14,2.2307692,1.1756126e-14,2.2307692,1.1656732e-14,2.2307692,1.1534163e-14,2.2307692,1.1377881e-14,2.2307692,1.1171207e-14,2.2307692,1.0880386e-14,2.2307692,1.0459626e-14,2.2307692,9.9724099e-15,2.2307692,9.7095079e-15,2.2307692,9.624542e-15,2.2307692,9.5830132e-15,2.2307692,9.5522965e-15,2.2307692,9.5292742e-15,2.2307692,9.5087956e-15,2.2307692,9.4872405e-15,2.2307692,9.4743817e-15,2.2307692,9.4620375e-15,2.2307692,9.4403634e-15
2.3653846,1.2233595e-14,2.3653846,1.2223302e-14,2.3653846,1.2209759e-14,2.3653846,1.2180157e-14,2.3653846,1.2146673e-14,2.3653846,1.2108575e-14,2.3653846,1.2064991e-14,2.3653846,1.2014756e-14,2.3653846,1.1956433e-14,2.3653846,1.1888795e-14,2.3653846,1.1809763e-14,2.3653846,1.1716288e-14,2.3653846,1.1603465e-14,2.3653846,1.1461016e-14,2.3653846,1.127702e-14,2.3653846,1.1022816e-14,2.3653846,1.0656252e-14,2.3653846,1.0167982e-14,2.3653846,9.8106706e-15,2.3653846,9.6853632e-15,2.3653846,9.6339897e-15,2.3653846,9.5983146e-15,2.3653846,9.5704478e-15,2.3653846,9.5489746e-15,2.3653846,9.5286487e-15,2.3653846,9.5108603e-15,2.3653846,9.4975999e-15
2.5,1.2295702e-14,2.5,1.2286426e-14,2.5,1.2274273e-14,2.5,1.2247907e-14,2.5,1.2218391e-14,2.5,1.2185159e-14,2.5,1.2147546e-14,2.5,1.2104765e-14,2.5,1.2055901e-14,2.5,1.1999436e-14,2.5,1.1934396e-14,2.5,1.185905e-14,2.5,1.1770877e-14,2.5,1.1665913e-14,2.5,1.1535919e-14,2.5,1.1370232e-14,2.5,1.1147261e-14,2.5,1.0829407e-14,2.5,1.0375799e-14,2.5,9.9391282e-15,2.5,9.7529103e-15,2.5,9.6847093e-15,2.5,9.6438744e-15,2.5,9.612459e-15,2.5,9.589026e-15,2.5,9.5685346e-15,2.5,9.5437345e-15

