c(g:s)(CV_n101_ac_des) X,c(g:s)(CV_n101_ac_des) Y,c(g:s)(CV_n102_ac_des) X,c(g:s)(CV_n102_ac_des) Y,c(g:s)(CV_n103_ac_des) X,c(g:s)(CV_n103_ac_des) Y,c(g:s)(CV_n104_ac_des) X,c(g:s)(CV_n104_ac_des) Y,c(g:s)(CV_n105_ac_des) X,c(g:s)(CV_n105_ac_des) Y,c(g:s)(CV_n106_ac_des) X,c(g:s)(CV_n106_ac_des) Y,c(g:s)(CV_n107_ac_des) X,c(g:s)(CV_n107_ac_des) Y,c(g:s)(CV_n108_ac_des) X,c(g:s)(CV_n108_ac_des) Y,c(g:s)(CV_n109_ac_des) X,c(g:s)(CV_n109_ac_des) Y,c(g:s)(CV_n110_ac_des) X,c(g:s)(CV_n110_ac_des) Y,c(g:s)(CV_n111_ac_des) X,c(g:s)(CV_n111_ac_des) Y,c(g:s)(CV_n112_ac_des) X,c(g:s)(CV_n112_ac_des) Y,c(g:s)(CV_n113_ac_des) X,c(g:s)(CV_n113_ac_des) Y,c(g:s)(CV_n114_ac_des) X,c(g:s)(CV_n114_ac_des) Y,c(g:s)(CV_n115_ac_des) X,c(g:s)(CV_n115_ac_des) Y,c(g:s)(CV_n116_ac_des) X,c(g:s)(CV_n116_ac_des) Y,c(g:s)(CV_n117_ac_des) X,c(g:s)(CV_n117_ac_des) Y,c(g:s)(CV_n118_ac_des) X,c(g:s)(CV_n118_ac_des) Y,c(g:s)(CV_n119_ac_des) X,c(g:s)(CV_n119_ac_des) Y,c(g:s)(CV_n120_ac_des) X,c(g:s)(CV_n120_ac_des) Y,c(g:s)(CV_n121_ac_des) X,c(g:s)(CV_n121_ac_des) Y,c(g:s)(CV_n122_ac_des) X,c(g:s)(CV_n122_ac_des) Y,c(g:s)(CV_n123_ac_des) X,c(g:s)(CV_n123_ac_des) Y,c(g:s)(CV_n124_ac_des) X,c(g:s)(CV_n124_ac_des) Y,c(g:s)(CV_n125_ac_des) X,c(g:s)(CV_n125_ac_des) Y,c(g:s)(CV_n126_ac_des) X,c(g:s)(CV_n126_ac_des) Y,c(g:s)(CV_n127_ac_des) X,c(g:s)(CV_n127_ac_des) Y
0.34615385,-3.32E-15,0.34615385,-3.27E-15,0.34615385,-3.21E-15,0.34615385,-3.14E-15,0.34615385,-3.12E-15,0.34615385,-3.12E-15,0.34615385,-3.12E-15,0.34615385,-3.12E-15,0.34615385,-3.12E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15,0.34615385,-3.11E-15
0.48076923,-3.52E-15,0.48076923,-3.48E-15,0.48076923,-3.43E-15,0.48076923,-3.30E-15,0.48076923,-3.22E-15,0.48076923,-3.18E-15,0.48076923,-3.17E-15,0.48076923,-3.16E-15,0.48076923,-3.16E-15,0.48076923,-3.16E-15,0.48076923,-3.15E-15,0.48076923,-3.15E-15,0.48076923,-3.15E-15,0.48076923,-3.15E-15,0.48076923,-3.15E-15,0.48076923,-3.15E-15,0.48076923,-3.15E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15,0.48076923,-3.14E-15
0.61538462,-3.68E-15,0.61538462,-3.70E-15,0.61538462,-3.72E-15,0.61538462,-3.70E-15,0.61538462,-3.60E-15,0.61538462,-3.46E-15,0.61538462,-3.39E-15,0.61538462,-3.35E-15,0.61538462,-3.34E-15,0.61538462,-3.33E-15,0.61538462,-3.32E-15,0.61538462,-3.32E-15,0.61538462,-3.31E-15,0.61538462,-3.30E-15,0.61538462,-3.29E-15,0.61538462,-3.29E-15,0.61538462,-3.29E-15,0.61538462,-3.29E-15,0.61538462,-3.28E-15,0.61538462,-3.28E-15,0.61538462,-3.28E-15,0.61538462,-3.28E-15,0.61538462,-3.28E-15,0.61538462,-3.28E-15,0.61538462,-3.28E-15,0.61538462,-3.27E-15,0.61538462,-3.27E-15
0.75,-4.06E-15,0.75,-4.10E-15,0.75,-4.14E-15,0.75,-4.17E-15,0.75,-4.17E-15,0.75,-4.14E-15,0.75,-4.07E-15,0.75,-3.99E-15,0.75,-3.92E-15,0.75,-3.88E-15,0.75,-3.86E-15,0.75,-3.85E-15,0.75,-3.85E-15,0.75,-3.84E-15,0.75,-3.83E-15,0.75,-3.80E-15,0.75,-3.79E-15,0.75,-3.79E-15,0.75,-3.78E-15,0.75,-3.78E-15,0.75,-3.78E-15,0.75,-3.77E-15,0.75,-3.77E-15,0.75,-3.77E-15,0.75,-3.77E-15,0.75,-3.76E-15,0.75,-3.76E-15
0.88461538,-4.73E-15,0.88461538,-4.76E-15,0.88461538,-4.79E-15,0.88461538,-4.84E-15,0.88461538,-4.85E-15,0.88461538,-4.84E-15,0.88461538,-4.82E-15,0.88461538,-4.78E-15,0.88461538,-4.73E-15,0.88461538,-4.68E-15,0.88461538,-4.63E-15,0.88461538,-4.60E-15,0.88461538,-4.58E-15,0.88461538,-4.56E-15,0.88461538,-4.55E-15,0.88461538,-4.55E-15,0.88461538,-4.55E-15,0.88461538,-4.55E-15,0.88461538,-4.54E-15,0.88461538,-4.54E-15,0.88461538,-4.53E-15,0.88461538,-4.50E-15,0.88461538,-4.50E-15,0.88461538,-4.49E-15,0.88461538,-4.49E-15,0.88461538,-4.49E-15,0.88461538,-4.49E-15
1.0192308,-5.16E-15,1.0192308,-5.18E-15,1.0192308,-5.20E-15,1.0192308,-5.25E-15,1.0192308,-5.27E-15,1.0192308,-5.27E-15,1.0192308,-5.25E-15,1.0192308,-5.23E-15,1.0192308,-5.20E-15,1.0192308,-5.17E-15,1.0192308,-5.12E-15,1.0192308,-5.08E-15,1.0192308,-5.05E-15,1.0192308,-5.02E-15,1.0192308,-5.00E-15,1.0192308,-4.99E-15,1.0192308,-4.98E-15,1.0192308,-4.97E-15,1.0192308,-4.96E-15,1.0192308,-4.96E-15,1.0192308,-4.95E-15,1.0192308,-4.95E-15,1.0192308,-4.95E-15,1.0192308,-4.94E-15,1.0192308,-4.94E-15,1.0192308,-4.92E-15,1.0192308,-4.92E-15
1.1538462,-5.41E-15,1.1538462,-5.43E-15,1.1538462,-5.45E-15,1.1538462,-5.48E-15,1.1538462,-5.51E-15,1.1538462,-5.52E-15,1.1538462,-5.51E-15,1.1538462,-5.49E-15,1.1538462,-5.47E-15,1.1538462,-5.44E-15,1.1538462,-5.41E-15,1.1538462,-5.38E-15,1.1538462,-5.34E-15,1.1538462,-5.31E-15,1.1538462,-5.29E-15,1.1538462,-5.26E-15,1.1538462,-5.25E-15,1.1538462,-5.23E-15,1.1538462,-5.22E-15,1.1538462,-5.21E-15,1.1538462,-5.20E-15,1.1538462,-5.20E-15,1.1538462,-5.19E-15,1.1538462,-5.19E-15,1.1538462,-5.19E-15,1.1538462,-5.19E-15,1.1538462,-5.20E-15
1.2884615,-5.58E-15,1.2884615,-5.59E-15,1.2884615,-5.61E-15,1.2884615,-5.63E-15,1.2884615,-5.66E-15,1.2884615,-5.68E-15,1.2884615,-5.68E-15,1.2884615,-5.67E-15,1.2884615,-5.65E-15,1.2884615,-5.63E-15,1.2884615,-5.60E-15,1.2884615,-5.58E-15,1.2884615,-5.54E-15,1.2884615,-5.51E-15,1.2884615,-5.48E-15,1.2884615,-5.46E-15,1.2884615,-5.44E-15,1.2884615,-5.42E-15,1.2884615,-5.40E-15,1.2884615,-5.39E-15,1.2884615,-5.38E-15,1.2884615,-5.37E-15,1.2884615,-5.36E-15,1.2884615,-5.35E-15,1.2884615,-5.35E-15,1.2884615,-5.34E-15,1.2884615,-5.34E-15
1.4230769,-5.70E-15,1.4230769,-5.71E-15,1.4230769,-5.72E-15,1.4230769,-5.74E-15,1.4230769,-5.77E-15,1.4230769,-5.78E-15,1.4230769,-5.79E-15,1.4230769,-5.79E-15,1.4230769,-5.78E-15,1.4230769,-5.76E-15,1.4230769,-5.74E-15,1.4230769,-5.71E-15,1.4230769,-5.69E-15,1.4230769,-5.66E-15,1.4230769,-5.63E-15,1.4230769,-5.60E-15,1.4230769,-5.58E-15,1.4230769,-5.56E-15,1.4230769,-5.54E-15,1.4230769,-5.52E-15,1.4230769,-5.51E-15,1.4230769,-5.50E-15,1.4230769,-5.49E-15,1.4230769,-5.47E-15,1.4230769,-5.46E-15,1.4230769,-5.46E-15,1.4230769,-5.45E-15
1.5576923,-5.79E-15,1.5576923,-5.80E-15,1.5576923,-5.81E-15,1.5576923,-5.83E-15,1.5576923,-5.85E-15,1.5576923,-5.86E-15,1.5576923,-5.88E-15,1.5576923,-5.88E-15,1.5576923,-5.88E-15,1.5576923,-5.87E-15,1.5576923,-5.85E-15,1.5576923,-5.82E-15,1.5576923,-5.80E-15,1.5576923,-5.78E-15,1.5576923,-5.75E-15,1.5576923,-5.72E-15,1.5576923,-5.70E-15,1.5576923,-5.67E-15,1.5576923,-5.66E-15,1.5576923,-5.64E-15,1.5576923,-5.62E-15,1.5576923,-5.61E-15,1.5576923,-5.59E-15,1.5576923,-5.58E-15,1.5576923,-5.57E-15,1.5576923,-5.55E-15,1.5576923,-5.54E-15
1.6923077,-5.86E-15,1.6923077,-5.87E-15,1.6923077,-5.88E-15,1.6923077,-5.90E-15,1.6923077,-5.91E-15,1.6923077,-5.93E-15,1.6923077,-5.94E-15,1.6923077,-5.95E-15,1.6923077,-5.95E-15,1.6923077,-5.95E-15,1.6923077,-5.94E-15,1.6923077,-5.92E-15,1.6923077,-5.89E-15,1.6923077,-5.87E-15,1.6923077,-5.85E-15,1.6923077,-5.82E-15,1.6923077,-5.79E-15,1.6923077,-5.77E-15,1.6923077,-5.76E-15,1.6923077,-5.73E-15,1.6923077,-5.71E-15,1.6923077,-5.70E-15,1.6923077,-5.68E-15,1.6923077,-5.67E-15,1.6923077,-5.65E-15,1.6923077,-5.64E-15,1.6923077,-5.64E-15
1.8269231,-5.93E-15,1.8269231,-5.93E-15,1.8269231,-5.94E-15,1.8269231,-5.95E-15,1.8269231,-5.97E-15,1.8269231,-5.98E-15,1.8269231,-6.00E-15,1.8269231,-6.01E-15,1.8269231,-6.01E-15,1.8269231,-6.01E-15,1.8269231,-6.01E-15,1.8269231,-6.00E-15,1.8269231,-5.98E-15,1.8269231,-5.95E-15,1.8269231,-5.93E-15,1.8269231,-5.90E-15,1.8269231,-5.88E-15,1.8269231,-5.85E-15,1.8269231,-5.83E-15,1.8269231,-5.81E-15,1.8269231,-5.80E-15,1.8269231,-5.78E-15,1.8269231,-5.76E-15,1.8269231,-5.75E-15,1.8269231,-5.73E-15,1.8269231,-5.72E-15,1.8269231,-5.71E-15
1.9615385,-5.98E-15,1.9615385,-5.98E-15,1.9615385,-5.99E-15,1.9615385,-6.00E-15,1.9615385,-6.02E-15,1.9615385,-6.03E-15,1.9615385,-6.04E-15,1.9615385,-6.05E-15,1.9615385,-6.06E-15,1.9615385,-6.06E-15,1.9615385,-6.06E-15,1.9615385,-6.06E-15,1.9615385,-6.05E-15,1.9615385,-6.03E-15,1.9615385,-6.00E-15,1.9615385,-5.98E-15,1.9615385,-5.95E-15,1.9615385,-5.93E-15,1.9615385,-5.90E-15,1.9615385,-5.88E-15,1.9615385,-5.86E-15,1.9615385,-5.85E-15,1.9615385,-5.84E-15,1.9615385,-5.82E-15,1.9615385,-5.80E-15,1.9615385,-5.78E-15,1.9615385,-5.77E-15
2.0961538,-6.02E-15,2.0961538,-6.03E-15,2.0961538,-6.03E-15,2.0961538,-6.04E-15,2.0961538,-6.06E-15,2.0961538,-6.07E-15,2.0961538,-6.08E-15,2.0961538,-6.09E-15,2.0961538,-6.10E-15,2.0961538,-6.10E-15,2.0961538,-6.11E-15,2.0961538,-6.11E-15,2.0961538,-6.10E-15,2.0961538,-6.09E-15,2.0961538,-6.07E-15,2.0961538,-6.05E-15,2.0961538,-6.02E-15,2.0961538,-6.00E-15,2.0961538,-5.97E-15,2.0961538,-5.95E-15,2.0961538,-5.93E-15,2.0961538,-5.91E-15,2.0961538,-5.89E-15,2.0961538,-5.89E-15,2.0961538,-5.87E-15,2.0961538,-5.85E-15,2.0961538,-5.83E-15
2.2307692,-6.06E-15,2.2307692,-6.07E-15,2.2307692,-6.07E-15,2.2307692,-6.08E-15,2.2307692,-6.09E-15,2.2307692,-6.10E-15,2.2307692,-6.11E-15,2.2307692,-6.12E-15,2.2307692,-6.13E-15,2.2307692,-6.14E-15,2.2307692,-6.14E-15,2.2307692,-6.14E-15,2.2307692,-6.14E-15,2.2307692,-6.14E-15,2.2307692,-6.13E-15,2.2307692,-6.11E-15,2.2307692,-6.09E-15,2.2307692,-6.06E-15,2.2307692,-6.04E-15,2.2307692,-6.01E-15,2.2307692,-5.99E-15,2.2307692,-5.97E-15,2.2307692,-5.95E-15,2.2307692,-5.93E-15,2.2307692,-5.92E-15,2.2307692,-5.91E-15,2.2307692,-5.90E-15
2.3653846,-6.10E-15,2.3653846,-6.10E-15,2.3653846,-6.11E-15,2.3653846,-6.12E-15,2.3653846,-6.13E-15,2.3653846,-6.13E-15,2.3653846,-6.14E-15,2.3653846,-6.15E-15,2.3653846,-6.16E-15,2.3653846,-6.17E-15,2.3653846,-6.17E-15,2.3653846,-6.18E-15,2.3653846,-6.18E-15,2.3653846,-6.18E-15,2.3653846,-6.17E-15,2.3653846,-6.16E-15,2.3653846,-6.14E-15,2.3653846,-6.12E-15,2.3653846,-6.10E-15,2.3653846,-6.07E-15,2.3653846,-6.05E-15,2.3653846,-6.02E-15,2.3653846,-6.00E-15,2.3653846,-5.98E-15,2.3653846,-5.97E-15,2.3653846,-5.95E-15,2.3653846,-5.94E-15
2.5,-6.13E-15,2.5,-6.13E-15,2.5,-6.14E-15,2.5,-6.15E-15,2.5,-6.15E-15,2.5,-6.16E-15,2.5,-6.17E-15,2.5,-6.18E-15,2.5,-6.19E-15,2.5,-6.19E-15,2.5,-6.20E-15,2.5,-6.20E-15,2.5,-6.21E-15,2.5,-6.21E-15,2.5,-6.20E-15,2.5,-6.20E-15,2.5,-6.19E-15,2.5,-6.17E-15,2.5,-6.16E-15,2.5,-6.13E-15,2.5,-6.11E-15,2.5,-6.08E-15,2.5,-6.06E-15,2.5,-6.04E-15,2.5,-6.02E-15,2.5,-6.00E-15,2.5,-5.99E-15
