c(g:s)(CV_n125_ac_des) X,c(g:s)(CV_n125_ac_des) Y,c(g:s)(CV_n126_ac_des) X,c(g:s)(CV_n126_ac_des) Y,c(g:s)(CV_n127_ac_des) X,c(g:s)(CV_n127_ac_des) Y,c(g:s)(CV_n128_ac_des) X,c(g:s)(CV_n128_ac_des) Y,c(g:s)(CV_n129_ac_des) X,c(g:s)(CV_n129_ac_des) Y,c(g:s)(CV_n130_ac_des) X,c(g:s)(CV_n130_ac_des) Y,c(g:s)(CV_n131_ac_des) X,c(g:s)(CV_n131_ac_des) Y,c(g:s)(CV_n132_ac_des) X,c(g:s)(CV_n132_ac_des) Y,c(g:s)(CV_n133_ac_des) X,c(g:s)(CV_n133_ac_des) Y,c(g:s)(CV_n134_ac_des) X,c(g:s)(CV_n134_ac_des) Y,c(g:s)(CV_n135_ac_des) X,c(g:s)(CV_n135_ac_des) Y,c(g:s)(CV_n136_ac_des) X,c(g:s)(CV_n136_ac_des) Y,c(g:s)(CV_n137_ac_des) X,c(g:s)(CV_n137_ac_des) Y,c(g:s)(CV_n138_ac_des) X,c(g:s)(CV_n138_ac_des) Y,c(g:s)(CV_n139_ac_des) X,c(g:s)(CV_n139_ac_des) Y,c(g:s)(CV_n140_ac_des) X,c(g:s)(CV_n140_ac_des) Y,c(g:s)(CV_n141_ac_des) X,c(g:s)(CV_n141_ac_des) Y,c(g:s)(CV_n142_ac_des) X,c(g:s)(CV_n142_ac_des) Y,c(g:s)(CV_n143_ac_des) X,c(g:s)(CV_n143_ac_des) Y,c(g:s)(CV_n144_ac_des) X,c(g:s)(CV_n144_ac_des) Y,c(g:s)(CV_n145_ac_des) X,c(g:s)(CV_n145_ac_des) Y,c(g:s)(CV_n146_ac_des) X,c(g:s)(CV_n146_ac_des) Y,c(g:s)(CV_n147_ac_des) X,c(g:s)(CV_n147_ac_des) Y,c(g:s)(CV_n148_ac_des) X,c(g:s)(CV_n148_ac_des) Y,c(g:s)(CV_n149_ac_des) X,c(g:s)(CV_n149_ac_des) Y,c(g:s)(CV_n150_ac_des) X,c(g:s)(CV_n150_ac_des) Y,c(g:s)(CV_n151_ac_des) X,c(g:s)(CV_n151_ac_des) Y
0.34615385,-6.4115449e-15,0.34615385,-6.3327957e-15,0.34615385,-6.2324928e-15,0.34615385,-6.0602583e-15,0.34615385,-5.9212686e-15,0.34615385,-5.7858719e-15,0.34615385,-5.6525679e-15,0.34615385,-5.5783417e-15,0.34615385,-5.5496007e-15,0.34615385,-5.5380092e-15,0.34615385,-5.533011e-15,0.34615385,-5.5279699e-15,0.34615385,-5.523313e-15,0.34615385,-5.5174233e-15,0.34615385,-5.5143452e-15,0.34615385,-5.512933e-15,0.34615385,-5.5116262e-15,0.34615385,-5.5104125e-15,0.34615385,-5.5093041e-15,0.34615385,-5.5082912e-15,0.34615385,-5.5073601e-15,0.34615385,-5.5064999e-15,0.34615385,-5.5057018e-15,0.34615385,-5.5049586e-15,0.34615385,-5.5042639e-15,0.34615385,-5.5036126e-15,0.34615385,-5.5030002e-15
0.48076923,-6.5924333e-15,0.48076923,-6.6224129e-15,0.48076923,-6.6434543e-15,0.48076923,-6.6982274e-15,0.48076923,-6.7640647e-15,0.48076923,-6.6103637e-15,0.48076923,-6.3197251e-15,0.48076923,-6.0967106e-15,0.48076923,-5.9054752e-15,0.48076923,-5.7844077e-15,0.48076923,-5.7295479e-15,0.48076923,-5.7048456e-15,0.48076923,-5.6906008e-15,0.48076923,-5.6786031e-15,0.48076923,-5.6681033e-15,0.48076923,-5.650043e-15,0.48076923,-5.6481301e-15,0.48076923,-5.637306e-15,0.48076923,-5.6342523e-15,0.48076923,-5.6314776e-15,0.48076923,-5.6289332e-15,0.48076923,-5.6265818e-15,0.48076923,-5.6243976e-15,0.48076923,-5.6223612e-15,0.48076923,-5.6204567e-15,0.48076923,-5.6186707e-15,0.48076923,-5.6169913e-15
0.61538462,-6.8090053e-15,0.61538462,-6.8767649e-15,0.61538462,-6.9426221e-15,0.61538462,-6.9947579e-15,0.61538462,-7.0283303e-15,0.61538462,-7.0913199e-15,0.61538462,-7.1431346e-15,0.61538462,-7.1701918e-15,0.61538462,-7.1488302e-15,0.61538462,-7.0571598e-15,0.61538462,-6.8213138e-15,0.61538462,-6.4996843e-15,0.61538462,-6.2788679e-15,0.61538462,-6.1943186e-15,0.61538462,-6.1555493e-15,0.61538462,-6.1284853e-15,0.61538462,-6.0905289e-15,0.61538462,-6.036513e-15,0.61538462,-6.0280414e-15,0.61538462,-6.0794831e-15,0.61538462,-6.010357e-15,0.61538462,-6.0050011e-15,0.61538462,-6.0000997e-15,0.61538462,-5.9955496e-15,0.61538462,-5.9912894e-15,0.61538462,-5.9872811e-15,0.61538462,-5.9834996e-15
0.75,-7.5307473e-15,0.75,-7.6001525e-15,0.75,-7.6800158e-15,0.75,-7.7916401e-15,0.75,-7.8669676e-15,0.75,-7.9126176e-15,0.75,-7.9634147e-15,0.75,-8.0161919e-15,0.75,-8.0658891e-15,0.75,-8.0851584e-15,0.75,-8.0813709e-15,0.75,-8.0383473e-15,0.75,-7.9287951e-15,0.75,-7.7614557e-15,0.75,-7.5485693e-15,0.75,-7.3386592e-15,0.75,-7.200224e-15,0.75,-7.128352e-15,0.75,-7.0810042e-15,0.75,-7.0529001e-15,0.75,-7.0467607e-15,0.75,-7.0307306e-15,0.75,-7.0144895e-15,0.75,-7.0024189e-15,0.75,-6.957271e-15,0.75,-6.9507123e-15,0.75,-6.9446566e-15
0.88461538,-8.2671211e-15,0.88461538,-8.3141842e-15,0.88461538,-8.3732266e-15,0.88461538,-8.4725952e-15,0.88461538,-8.5333859e-15,0.88461538,-8.5803134e-15,0.88461538,-8.6373137e-15,0.88461538,-8.6891465e-15,0.88461538,-8.7460708e-15,0.88461538,-8.804888e-15,0.88461538,-8.8566309e-15,0.88461538,-8.8981616e-15,0.88461538,-8.9137862e-15,0.88461538,-8.9176972e-15,0.88461538,-8.8811899e-15,0.88461538,-8.7722194e-15,0.88461538,-8.641873e-15,0.88461538,-8.4853981e-15,0.88461538,-8.3225387e-15,0.88461538,-8.162844e-15,0.88461538,-8.0682733e-15,0.88461538,-8.0168404e-15,0.88461538,-7.986896e-15,0.88461538,-7.9295539e-15,0.88461538,-7.9010332e-15,0.88461538,-7.889355e-15,0.88461538,-7.8366747e-15
1.0192308,-8.6865007e-15,1.0192308,-8.7191529e-15,1.0192308,-8.7610128e-15,1.0192308,-8.8409867e-15,1.0192308,-8.9008021e-15,1.0192308,-8.9349322e-15,1.0192308,-8.9599412e-15,1.0192308,-8.9895775e-15,1.0192308,-9.0262317e-15,1.0192308,-9.0672028e-15,1.0192308,-9.1128029e-15,1.0192308,-9.1568839e-15,1.0192308,-9.2076045e-15,1.0192308,-9.2434743e-15,1.0192308,-9.266705e-15,1.0192308,-9.2838123e-15,1.0192308,-9.298439e-15,1.0192308,-9.260693e-15,1.0192308,-9.1763358e-15,1.0192308,-9.0488499e-15,1.0192308,-8.8960867e-15,1.0192308,-8.7905821e-15,1.0192308,-8.6894062e-15,1.0192308,-8.571976e-15,1.0192308,-8.5119698e-15,1.0192308,-8.4712168e-15,1.0192308,-8.4451812e-15
1.1538462,-8.9396767e-15,1.1538462,-8.9639691e-15,1.1538462,-8.9952105e-15,1.1538462,-9.0578729e-15,1.1538462,-9.1137214e-15,1.1538462,-9.1533077e-15,1.1538462,-9.1740292e-15,1.1538462,-9.1864923e-15,1.1538462,-9.2018409e-15,1.1538462,-9.2214766e-15,1.1538462,-9.2450895e-15,1.1538462,-9.2704008e-15,1.1538462,-9.2989095e-15,1.1538462,-9.335214e-15,1.1538462,-9.3663027e-15,1.1538462,-9.3993273e-15,1.1538462,-9.4268861e-15,1.1538462,-9.4268184e-15,1.1538462,-9.4392969e-15,1.1538462,-9.4494245e-15,1.1538462,-9.4121614e-15,1.1538462,-9.3695268e-15,1.1538462,-9.203183e-15,1.1538462,-9.1156279e-15,1.1538462,-9.037377e-15,1.1538462,-8.9310663e-15,1.1538462,-8.8654396e-15
1.2884615,-9.1126498e-15,1.2884615,-9.1317769e-15,1.2884615,-9.1563356e-15,1.2884615,-9.2063937e-15,1.2884615,-9.2546144e-15,1.2884615,-9.2957056e-15,1.2884615,-9.3241591e-15,1.2884615,-9.3378966e-15,1.2884615,-9.3430849e-15,1.2884615,-9.3487558e-15,1.2884615,-9.3589356e-15,1.2884615,-9.3719869e-15,1.2884615,-9.3862134e-15,1.2884615,-9.4055591e-15,1.2884615,-9.4227225e-15,1.2884615,-9.4390746e-15,1.2884615,-9.4695807e-15,1.2884615,-9.4756658e-15,1.2884615,-9.5063694e-15,1.2884615,-9.5338887e-15,1.2884615,-9.5040505e-15,1.2884615,-9.5064258e-15,1.2884615,-9.5107657e-15,1.2884615,-9.4618512e-15,1.2884615,-9.4936882e-15,1.2884615,-9.3278776e-15,1.2884615,-9.2318256e-15
1.4230769,-9.2414611e-15,1.4230769,-9.2570933e-15,1.4230769,-9.2771192e-15,1.4230769,-9.3181975e-15,1.4230769,-9.3590754e-15,1.4230769,-9.3970749e-15,1.4230769,-9.428723e-15,1.4230769,-9.4505028e-15,1.4230769,-9.4605332e-15,1.4230769,-9.4617883e-15,1.4230769,-9.4617449e-15,1.4230769,-9.4649769e-15,1.4230769,-9.4709931e-15,1.4230769,-9.479448e-15,1.4230769,-9.4877516e-15,1.4230769,-9.4990909e-15,1.4230769,-9.5088192e-15,1.4230769,-9.5149456e-15,1.4230769,-9.5330405e-15,1.4230769,-9.5589819e-15,1.4230769,-9.5447332e-15,1.4230769,-9.5775663e-15,1.4230769,-9.5854952e-15,1.4230769,-9.5642753e-15,1.4230769,-9.5424613e-15,1.4230769,-9.5287329e-15,1.4230769,-9.5585784e-15
1.5576923,-9.3440908e-15,1.5576923,-9.3572417e-15,1.5576923,-9.3740515e-15,1.5576923,-9.4085764e-15,1.5576923,-9.4434723e-15,1.5576923,-9.4772952e-15,1.5576923,-9.5080434e-15,1.5576923,-9.5333605e-15,1.5576923,-9.5508389e-15,1.5576923,-9.5588854e-15,1.5576923,-9.558338e-15,1.5576923,-9.5546261e-15,1.5576923,-9.55285e-15,1.5576923,-9.5539085e-15,1.5576923,-9.5565978e-15,1.5576923,-9.5620689e-15,1.5576923,-9.569955e-15,1.5576923,-9.5728774e-15,1.5576923,-9.5832699e-15,1.5576923,-9.5866939e-15,1.5576923,-9.5858763e-15,1.5576923,-9.600682e-15,1.5576923,-9.5971528e-15,1.5576923,-9.5907591e-15,1.5576923,-9.6258186e-15,1.5576923,-9.6217029e-15,1.5576923,-9.6193371e-15
1.6923077,-9.4288324e-15,1.6923077,-9.4401378e-15,1.6923077,-9.4545595e-15,1.6923077,-9.4841692e-15,1.6923077,-9.5143115e-15,1.6923077,-9.5441562e-15,1.6923077,-9.5725597e-15,1.6923077,-9.5980332e-15,1.6923077,-9.6189056e-15,1.6923077,-9.6334634e-15,1.6923077,-9.6403614e-15,1.6923077,-9.6393408e-15,1.6923077,-9.6336566e-15,1.6923077,-9.6283182e-15,1.6923077,-9.625258e-15,1.6923077,-9.6244409e-15,1.6923077,-9.6256954e-15,1.6923077,-9.6283097e-15,1.6923077,-9.6332086e-15,1.6923077,-9.6304196e-15,1.6923077,-9.638874e-15,1.6923077,-9.6438886e-15,1.6923077,-9.6282275e-15,1.6923077,-9.6435765e-15,1.6923077,-9.6517511e-15,1.6923077,-9.6339967e-15,1.6923077,-9.6234511e-15
1.8269231,-9.4995672e-15,1.8269231,-9.509465e-15,1.8269231,-9.5220694e-15,1.8269231,-9.5479153e-15,1.8269231,-9.5743019e-15,1.8269231,-9.6007285e-15,1.8269231,-9.6264969e-15,1.8269231,-9.6507024e-15,1.8269231,-9.6722487e-15,1.8269231,-9.6898942e-15,1.8269231,-9.70238e-15,1.8269231,-9.7085544e-15,1.8269231,-9.7077108e-15,1.8269231,-9.7012142e-15,1.8269231,-9.6933979e-15,1.8269231,-9.6873136e-15,1.8269231,-9.6833256e-15,1.8269231,-9.6813706e-15,1.8269231,-9.6817051e-15,1.8269231,-9.6814103e-15,1.8269231,-9.6848401e-15,1.8269231,-9.6844098e-15,1.8269231,-9.6815805e-15,1.8269231,-9.6953905e-15,1.8269231,-9.690438e-15,1.8269231,-9.6735902e-15,1.8269231,-9.6771662e-15
1.9615385,-9.5603639e-15,1.9615385,-9.5691373e-15,1.9615385,-9.5802929e-15,1.9615385,-9.6031455e-15,1.9615385,-9.6265141e-15,1.9615385,-9.6500557e-15,1.9615385,-9.6733332e-15,1.9615385,-9.6957781e-15,1.9615385,-9.7166838e-15,1.9615385,-9.7352163e-15,1.9615385,-9.7504215e-15,1.9615385,-9.7613368e-15,1.9615385,-9.7669846e-15,1.9615385,-9.7665392e-15,1.9615385,-9.7600995e-15,1.9615385,-9.7509096e-15,1.9615385,-9.7425362e-15,1.9615385,-9.7360777e-15,1.9615385,-9.7316848e-15,1.9615385,-9.7284465e-15,1.9615385,-9.7270966e-15,1.9615385,-9.7250664e-15,1.9615385,-9.7284657e-15,1.9615385,-9.7309686e-15,1.9615385,-9.7285213e-15,1.9615385,-9.7214518e-15,1.9615385,-9.7269874e-15
2.0961538,-9.6134913e-15,2.0961538,-9.621357e-15,2.0961538,-9.631345e-15,2.0961538,-9.6517787e-15,2.0961538,-9.672682e-15,2.0961538,-9.69383e-15,2.0961538,-9.7149169e-15,2.0961538,-9.7355605e-15,2.0961538,-9.755297e-15,2.0961538,-9.773563e-15,2.0961538,-9.7897092e-15,2.0961538,-9.8029949e-15,2.0961538,-9.8126434e-15,2.0961538,-9.8178309e-15,2.0961538,-9.817744e-15,2.0961538,-9.8119389e-15,2.0961538,-9.8022826e-15,2.0961538,-9.7924451e-15,2.0961538,-9.7844241e-15,2.0961538,-9.777851e-15,2.0961538,-9.7722168e-15,2.0961538,-9.7676909e-15,2.0961538,-9.7660953e-15,2.0961538,-9.7621322e-15,2.0961538,-9.7635433e-15,2.0961538,-9.7658865e-15,2.0961538,-9.7584963e-15
2.2307692,-9.6605834e-15,2.2307692,-9.6677039e-15,2.2307692,-9.6767348e-15,2.2307692,-9.6951863e-15,2.2307692,-9.7140581e-15,2.2307692,-9.7331929e-15,2.2307692,-9.7523843e-15,2.2307692,-9.771365e-15,2.2307692,-9.7898026e-15,2.2307692,-9.8073093e-15,2.2307692,-9.8234288e-15,2.2307692,-9.8376454e-15,2.2307692,-9.8493678e-15,2.2307692,-9.8579463e-15,2.2307692,-9.8627082e-15,2.2307692,-9.8629574e-15,2.2307692,-9.8580963e-15,2.2307692,-9.8486761e-15,2.2307692,-9.8378942e-15,2.2307692,-9.8284573e-15,2.2307692,-9.8200155e-15,2.2307692,-9.8125037e-15,2.2307692,-9.8067408e-15,2.2307692,-9.8026065e-15,2.2307692,-9.8003469e-15,2.2307692,-9.79789e-15,2.2307692,-9.793814e-15
2.3653846,-9.7028382e-15,2.3653846,-9.7093384e-15,2.3653846,-9.7175737e-15,2.3653846,-9.7343793e-15,2.3653846,-9.7515588e-15,2.3653846,-9.7689996e-15,2.3653846,-9.7865539e-15,2.3653846,-9.8040334e-15,2.3653846,-9.8212041e-15,2.3653846,-9.8377772e-15,2.3653846,-9.8534261e-15,2.3653846,-9.867772e-15,2.3653846,-9.880387e-15,2.3653846,-9.8907916e-15,2.3653846,-9.8984534e-15,2.3653846,-9.9028473e-15,2.3653846,-9.9034272e-15,2.3653846,-9.8995232e-15,2.3653846,-9.89092e-15,2.3653846,-9.8797488e-15,2.3653846,-9.868918e-15,2.3653846,-9.859147e-15,2.3653846,-9.8503108e-15,2.3653846,-9.8444836e-15,2.3653846,-9.8383266e-15,2.3653846,-9.8325626e-15,2.3653846,-9.8289815e-15
2.5,-9.741151e-15,2.5,-9.7471281e-15,2.5,-9.7546933e-15,2.5,-9.7701141e-15,2.5,-9.785868e-15,2.5,-9.8018711e-15,2.5,-9.8180157e-15,2.5,-9.8341628e-15,2.5,-9.8501414e-15,2.5,-9.8657469e-15,2.5,-9.8807314e-15,2.5,-9.8948089e-15,2.5,-9.9076563e-15,2.5,-9.9189136e-15,2.5,-9.9282012e-15,2.5,-9.9350889e-15,2.5,-9.9392495e-15,2.5,-9.9401273e-15,2.5,-9.9370627e-15,2.5,-9.9295324e-15,2.5,-9.9183155e-15,2.5,-9.9066182e-15,2.5,-9.8958186e-15,2.5,-9.8866738e-15,2.5,-9.8793575e-15,2.5,-9.8725442e-15,2.5,-9.8661113e-15

