Vgs,Iv_final005_25,Iv_final06_25,Iv_final12_25,Iv_final005_55,Iv_final06_55,Iv_final12_55,Iv_final_005_85,Iv_final06_85,Iv_final12_85
-0.4,7.354131e-09,5.2399248e-08,5.2516747e-08,5.8028373e-09,8.7641716e-08,9.3152686e-08,9.650303e-09,2.135081e-07,2.4307312e-07
-0.3,1.2535707e-08,9.552632e-08,9.5019715e-08,1.0415615e-08,1.5258797e-07,1.5980606e-07,1.59674e-08,3.3788285e-07,3.7676728e-07
-0.2,1.942882e-08,1.627154e-07,1.6035779e-07,1.6918731e-08,2.5131118e-07,2.5920414e-07,2.4282638e-08,5.1633793e-07,5.6477614e-07
-0.1,2.7820963e-08,2.6287353e-07,2.5649172e-07,2.524054e-08,3.9593016e-07,4.0232945e-07,3.4398052e-08,7.6545086e-07,8.231034e-07
0.0,3.7340225e-08,4.070388e-07,3.9351877e-07,3.5093375e-08,6.011253e-07,6.027789e-07,4.5948216e-08,1.1036428e-06,1.1702375e-06
0.1,4.7532275e-08,6.0805075e-07,5.83896e-07,4.6053724e-08,8.8341756e-07,8.767174e-07,5.848006e-08,1.5494819e-06,1.6263324e-06
0.2,5.792538e-08,8.795115e-07,8.422921e-07,5.7643682e-08,1.2596303e-06,1.2423365e-06,7.15239e-08,2.1192461e-06,2.2118888e-06
0.3,6.808249e-08,1.233999e-06,1.1849525e-06,6.9396286e-08,1.744487e-06,1.7187806e-06,8.464454e-08,2.8240472e-06,2.9459698e-06
0.4,7.764199e-08,1.6808159e-06,1.6286214e-06,8.0903725e-08,2.347824e-06,2.3245798e-06,9.747431e-08,3.6671902e-06,3.8443222e-06
0.5,8.634399e-08,2.2237377e-06,2.1890407e-06,9.184583e-08,3.0719616e-06,3.0757585e-06,1.0973019e-07,4.642408e-06,4.9174832e-06
0.6,9.403747e-08,2.8595323e-06,2.8792638e-06,1.02002254e-07,3.9101387e-06,3.984049e-06,1.2121748e-07,5.7335087e-06,6.1694304e-06
0.7,1.0067189e-07,3.5776663e-06,3.7080426e-06,1.1124802e-07,4.8464726e-06,5.055226e-06,1.3182144e-07,6.9158286e-06,7.5968464e-06
0.8,1.06276396e-07,4.3614727e-06,4.67859e-06,1.1953959e-07,5.857639e-06,6.288282e-06,1.4149423e-07,8.158953e-06,9.1892525e-06
0.9,1.1093431e-07,5.1903894e-06,5.787884e-06,1.2689488e-07,6.9158286e-06,7.675152e-06,1.5023997e-07,9.430154e-06,1.0929708e-05
1.0,1.1475926e-07,6.042692e-06,7.02672e-06,1.3337147e-07,7.992292e-06,9.201409e-06,1.5809717e-07,1.0697977e-05,1.2796352e-05
1.1,1.1787459e-07,6.8979393e-06,8.38034e-06,1.3905071e-07,9.060454e-06,1.0847301e-05,1.651267e-07,1.1934983e-05,1.4763926e-05
